CatalogNumber,Date,TradeDirection,ProductName,CompanyName,ContactPerson,Protein,TestWeight,FallingNumber,Quantity,DeliveryParity,LocationDetail,Price,Currency,GMP,ISCC,PublicNotes,PrivateNotes,,,,,,,,,,,,,,,,,,,,
1,04.08.2023,offer,wheat,,Branko,,,,,FCA,Levice,,,,,"wheat 72kg/HL, iscc, gmp, 500t, FCA Levice, 170€/t, 8-9/23, non binding, unverbindlich",,,,,,,,,,,,,,,,,,,,,
2,04.08.2023,offer,wheat,,Dusan,,,,,,,,,,,"11,5/79/220, 4700t, FCA Dunajska Streda, predavat po 500t, 8-9/23",,,,,,,,,,,,,,,,,,,,,
3,04.08.2023,offer,wheat,,Dusan,,,,,,,,,,,"12,7/80/220, 3500t",,,,,,,,,,,,,,,,,,,,,
4,04.08.2023,offer,wheat,,Dusan,,,,,,,,,,,"13,8/81/250, 2100t, ",,,,,,,,,,,,,,,,,,,,,
5,04.08.2023,offer,barley,,Branko,,,,,,,,,,,"175t, FCA Marcelová, Feedbly, 61kg, gmp, 8-9/23, 150€/t",,,,,,,,,,,,,,,,,,,,,
6,04.08.2023,offer,wheat,,Branko,,,,,,,,,GMP,ISCC,"200-300t, 8-9/23, feedwheat, 74kg/hl, iscc, gmp, FCA Očová, 163€/t",,,,,,,,,,,,,,,,,,,,,
7,04.08.2023,offer,durum,,Sylvia,,,,,,,,,,,"durum, 800t, FCA Trnava+25km, 350€/t, promt - 11/23, sukzessive, without extention, 13/78/250/70, 6%GB, (deduction 1:1), ",,,,,,,,,,,,,,,,,,,,,
8,04.08.2023,offer,rapeseed,,Branko,,,,,,,,,,,"rapeseed, iscc, gmp, 40/9/2, 500t, FCA Topolcany+20km, 1-3/24, 470€/t",,,,,,,,,,,,,,,,,,,,,
9,04.08.2023,offer,durum,,Branko,,,,,,,,,,,"durum, 500-800t, FCA Topolcany, 13,5/80/250/90, 1-3/24, 380€/t",,,,,,,,,,,,,,,,,,,,,
10,21.08.2023,offer,wheat,,Branko,,,,,,,,,,,"feedwheat, 73kg, iscc, gmp, 300t, FCA Levice+20km, 9/2023, 160€/t",,,,,,,,,,,,,,,,,,,,,
11,21.08.2023,offer,barley,,Branko,,,,,,,,,,,"feedbarley, 58kg/HL, gmp, FCA Piestany+20km, 130t, 9/23",,,,,,,,,,,,,,,,,,,,,
12,21.08.2023,offer,wheat,,Branko,,,,,,,,,,,"feedwheat, 73kg/HL, ISCC, GMP, 400t, FCA Zvolen +20km, 9-11/2023",,,,,,,,,,,,,,,,,,,,,
13,21.08.2023,offer,oats,,Branko,,,,,,,,,,,"naked oats, 380t, FCA Nitra+30km, 410€/t, 9-12/2023",,,,,,,,,,,,,,,,,,,,,
14,21.08.2023,demand,rapeseed,,Branko,,,,,,,,,,,"rapeseed, 40/9/2, iscc, gmp, FCA west SK, promt, 400-410€/t",,,,,,,,,,,,,,,,,,,,,
15,21.08.2023,demand,wheat,,Peťo K,,,,,,,,,,,"feedwheat 72kg, iscc, gmp, 1250DON, FCA juhozáp SK, 10-12/2023, 200t, 160€/t",,,,,,,,,,,,,,,,,,,,,
16,21.08.2023,offer,barley,,Dušan,,,,,,,,,,,"Feedbly, 55kg/HL, FCA Martin, 450t, 8-9/2023",,,,,,,,,,,,,,,,,,,,,
17,21.08.2023,offer,peas,,Dušan,,,,,,,,,,,"yellow peas, 230t, FCA Leopoldov, 8-9/2023, 270€/t",,,,,,,,,,,,,,,,,,,,,
18,23.08.2023,offer,sunflower ho,,Branko,,,,,,,,,,,"ho,400t,fca ZM,9 Až 9-11/23,410€/t",,,,,,,,,,,,,,,,,,,,,
19,23.08.2023,offer,raž,,Branko,,,,,,,,,,,"raž,1.000t,720/340,FCA ZM, 180€/t",,,,,,,,,,,,,,,,,,,,,
20,23.8.2023,offer,durum,,Branko,,,,,,,,,,,"durum 200-1.000t,11,5-12/780/75/260, FCA ZM, 330€/t",,,,,,,,,,,,,,,,,,,,,
